University,Academic Research & Methodology,Accounting & Bookkeeping,Accounting & Financial Systems,Agricultural Technology,Biodiversity & Bioeconomy,Blockchain Infrastructure & Development,CBDCs & Stablecoins,Cloud Computing & Fog Computing,Consensus Mechanisms & Protocols,Consumer Behavior & Adoption,Cross-Chain & Interoperability,Crowdsourcing & Collaborative Systems,Cryptocurrency Economics & Market Analysis,Cryptography & Security,Data Analysis & Methodology,Data Privacy & Access Control,Data Transparency,DeFi (Decentralized Finance),Decentralized Applications (DApps),Decentralized Finance,Digital Identity & Authentication,E-Commerce & Digital Payments,Education,Energy & Sustainability,FinTech & Traditional Finance,Food Safety & Traceability,Game Theory & Mechanism Design,Governance & DAOs,Healthcare & Digital Health,Incentive Mechanisms,Infrastructure & Development,Insurance & Risk Management,Interoperability & Data Management,IoT & Edge Computing,Machine Learning & AI Applications,Market Microstructure,Metaverse & Virtual Reality,Network Analysis & Graph Theory,Optimization Techniques,Oracle Deviation Analysis,Payment Systems & Settlement,Portfolio Management & Investment Strategies,Privacy,Privacy & Compliance,Privacy & Data Protection,Privacy & Security,Public Transport & Mobility,Quantum Computing & Blockchain,RWA (Real World Assets),Regulation & Legal Analysis,Risk Management,Scalability & Performance Optimization,Security & Cryptography,Smart Cities & Urban Development,Smart Contract Security & Vulnerabilities,Social Media & Market Sentiment Analysis,Stablecoins & CBDCs,Supply Chain & Logistics,Sustainability & Energy,Sustainability & Infrastructure Development,Sustainable Digital Finance,Tokenomics & Token Design,Travel & Tourism,Trust & Governance,Trust-Building in Digital Asset Markets,Urban Development & Planning,Volatility & Market Behavior,Zero-Knowledge Proofs & Privacy
Indian Institute of Technology Bombay,1,0,0,0,0,3,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
International Institute of Information Technology Hyderabad,0,0,0,1,0,22,0,0,2,0,1,1,0,0,0,0,0,1,0,0,13,0,0,1,0,0,1,1,8,0,0,0,0,38,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Istanbul Technical University,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Korea University,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,1,0,0,0,1,1,0,0,0,0,0,2
Kyoto University,1,0,0,0,0,1,0,0,1,0,0,0,13,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
Morgan State University,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
Nanyang Technological University,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1
National University of Singapore,3,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princeton University,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Reykjavik University,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers University Law School,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Stanford University,2,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,14,0,0,0,0,0,0,1,0,0,0,0,0,9
TU Delft,2,0,0,0,0,3,0,0,9,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
Toronto Metropolitan University,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Trinity College Dublin,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University College London,7,1,2,0,0,14,0,0,20,0,7,0,23,0,0,0,0,23,1,1,11,0,1,10,12,1,5,26,4,0,0,2,0,1,2,0,3,7,0,0,1,0,0,0,1,1,1,0,7,33,0,8,5,3,16,0,7,16,0,0,0,21,1,1,0,1,0,0
University of Bern,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
"University of California, Berkeley",3,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,3,0,0,3,0,0,0,6,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,6,0,3,2,0,4,0,3,0,0,0,0,2,0,0,0,0,0,3
University of Cape Town,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
University of Luxembourg,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,8,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,3,0,1,2,2,0,0,0,0,0,0
University of Nicosia,1,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of North Carolina at Chapel Hill,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
University of Oregon,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
University of Pennsylvania,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
University of São Paulo,6,0,0,0,1,6,0,0,5,0,0,0,9,0,0,0,0,1,0,0,6,0,0,2,0,0,2,7,6,0,0,0,0,2,6,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0,2,11,0,5,0,1,8,0,0,2,11,0,0,0,0,0,1
University of Texas at Austin,1,0,0,0,0,5,0,0,4,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Tokyo,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
University of Toronto,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,2,0,0,0,0,1,3,1,4,0,0,10,0,3,0,0,0,0,3,0,0,0,0,0,0
University of Trento,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
University of Waterloo,5,0,0,0,0,5,0,0,12,0,2,0,2,0,0,0,0,0,0,1,4,0,0,1,1,0,3,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,11,0,0,2,0,0,0,0,0,0,0,0,0,7
University of Wyoming,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
University of Zurich,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,5,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0
Victoria University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
