University,Academic Research & Methodology,Accounting & Bookkeeping,Accounting & Financial Systems,Agricultural Technology,Biodiversity & Bioeconomy,Blockchain Infrastructure & Development,CBDCs & Stablecoins,Cloud Computing & Fog Computing,Consensus Mechanisms & Protocols,Consumer Behavior & Adoption,Cross-Chain & Interoperability,Crowdsourcing & Collaborative Systems,Cryptocurrency Economics & Market Analysis,Cryptography & Security,Data Analysis & Methodology,Data Privacy & Access Control,Data Transparency,DeFi (Decentralized Finance),Decentralized Applications (DApps),Decentralized Finance,Digital Identity & Authentication,E-Commerce & Digital Payments,Education,Energy & Sustainability,FinTech & Traditional Finance,Food Safety & Traceability,Game Theory & Mechanism Design,Governance & DAOs,Healthcare & Digital Health,Incentive Mechanisms,Infrastructure & Development,Insurance & Risk Management,Interoperability & Data Management,IoT & Edge Computing,Machine Learning & AI Applications,Market Microstructure,Metaverse & Virtual Reality,Network Analysis & Graph Theory,Optimization Techniques,Oracle Deviation Analysis,Payment Systems & Settlement,Portfolio Management & Investment Strategies,Privacy,Privacy & Compliance,Privacy & Data Protection,Privacy & Security,Public Transport & Mobility,Quantum Computing & Blockchain,RWA (Real World Assets),Regulation & Legal Analysis,Risk Management,Scalability & Performance Optimization,Security & Cryptography,Smart Cities & Urban Development,Smart Contract Security & Vulnerabilities,Social Media & Market Sentiment Analysis,Stablecoins & CBDCs,Supply Chain & Logistics,Sustainability & Energy,Sustainability & Infrastructure Development,Sustainable Digital Finance,Tokenomics & Token Design,Travel & Tourism,Trust & Governance,Trust-Building in Digital Asset Markets,Urban Development & Planning,Volatility & Market Behavior,Zero-Knowledge Proofs & Privacy
IE Madrid,,,,,,,,,,,,,,,,,,,,,,,,,599,,,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,
IIIT Hyderabad,,,,,,"485, 486, 487, 488, 492, 494, 495, 497, 499, 500, 501, 502, 503",,,,,489,,,,,,,,,,"484, 493, 498, 500, 501, 503",,,,,,,484,"487, 490, 491, 496",,,,,"485, 486, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 502",,,,,,,,,,,,,,,,,,,"484, 485, 486, 487, 489, 490, 491, 492, 493, 494, 495, 496, 497, 499, 501, 503",498,"488, 502",,,,,,,,,,,,,
IIIT-H,,,,381,,"247, 365, 370, 372, 375, 377, 378, 382, 383",,,"358, 365",,,369,,,,,,367,,,"248, 359, 362, 369, 376, 384, 385",,,374,,,358,,"359, 368, 370, 378",,,,,"247, 248, 360, 361, 362, 363, 368, 370, 371, 372, 373, 374, 375, 376, 377, 379, 380, 381, 382, 383, 384, 385","379, 380, 384",,,367,,,,,,,,,,,,,,"358, 359, 365","248, 360, 361, 362, 363, 367, 368, 369, 371, 372, 375, 376, 378, 379, 380, 381, 382, 383, 385","360, 361, 371, 373, 377","247, 363, 373, 374",,,,,,,,,,,,,
IITB,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,
Indian Institute of Technology Bombay,321,,,,,"122, 321, 324",,,"127, 251, 274, 325",,,,"120, 325",,,,,,,,"275, 324",,,,,,,"62, 127, 273",121,,,,,,,,,120,,,,,,,,"62, 121",,,"62, 273","275, 325",,"251, 274","251, 275, 324",,"121, 122, 127, 273, 274, 321",,,,,,,,,,,,120,
Indian Institute of Technology Hyderabad,,,,,,"39, 135, 136, 137, 138, 139, 140, 142",,,141,,,,,,,,,,,,,,,,,,,,"40, 135",,,,,"39, 135, 136, 137, 138, 139, 140, 141, 142",,,,,,,,,,,,,,,,,,,"39, 40, 136, 137, 138, 139, 140, 141, 142",,,,,40,,,,,,,,,,
Korea University,,,,,,588,,,190,,,,,,,,,589,,,"202, 588",,,,,,,,,,,,,202,458,,,,,,,,,,,,,,,143,,458,"143, 190, 202, 590",,"143, 190, 590",,458,,,,589,589,,,,,,"588, 590"
Kyoto University,130,,,,,419,,,76,,,,"34, 44, 76, 130, 201, 232, 417, 418, 420, 421, 655",,421,,,,,201,,,,419,,,,"201, 705",,,,,,,"655, 705",,,"34, 44, 76, 130, 232, 417, 418, 420, 421, 655",,,,,,,,,,,,"34, 418",,,705,,,,,419,,,,"44, 232, 417, 420",,,,,,
Luxembourg,,,,,,,,,"645, 647",,,,,,,,,648,,,646,,,,,,,646,,,,,,,,,,"645, 647",,,,,,,,,,,,,,"645, 647",646,,648,,,,,,,,,,,,,648
MSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,518,,,,,,,,,,,,,,,,,,,518,,,,,,,,,,
Morgan State University,,,,,,,,,,,,,415,,,,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,415,,,,,,,,416,,,416,415,,,,,,
NTU,,,,,,,,,669,,669,,,,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,,669,,,672,,,,,,,,,,,,,
NUS,539,,,,,,,,538,,,,,,,,,,,,,,,,,,539,"538, 539",,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,
NUS Fintech Lab,"624, 628",,,,,,624,,627,,,,625,,,,,629,,,625,,,,"624, 629",,628,"627, 628, 629",,,,,,,,,,,,,,,,,,,,,,625,,,627,,,,,,,,,,,,,,,
Nicosia,,,,,,569,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,,,,
Princeton University,"265, 267",,,,,,,,"99, 168, 269",,,,"71, 99, 117",,,,,,,,"268, 452, 453",,,,,,"99, 168, 269",178,,,,,,,,,,"71, 265",,,,,,,,,,,,"117, 178, 451, 452, 453",,,"71, 117, 168, 265, 267, 268, 269, 451, 452, 453",,178,,,,,,,,,,,,,"267, 268, 451"
Reykjavik University,148,,,,,146,,,,,146,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146, 148",,,,,,,,,,,,,
Rutgers,,,,,,,,,,,,,"506, 566, 567",,,,,"505, 506, 566",,,,,,,568,,,505,,,,,,,,,,,,,,,,,,,,,,"505, 506, 566, 567, 568",,,,,,,568,,,,,567,,,,,,
Rutgers Law,,,,,,,,,,,,,"203, 204, 205, 351, 352, 353",,,,,"257, 353",,,,,,,351,,257,"204, 205, 352",,,,,,,,,,,,,,,,,,,,,,"203, 204, 205, 257, 351, 352, 353",,,,,,,,,,,,203,,,,,,
Rutgers Law School,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,426,,,,,,,,,,,,,,,
Stanford,"430, 433",,,,,"47, 114, 128, 295, 435",,,"115, 128, 220, 331, 332, 333, 334, 335, 336, 430, 432, 695, 696",,,,,,,,,188,,,434,,,,,,337,"295, 697",,,,,,,,,,,,,,,,,,,,,,,,"188, 331, 332, 333, 334, 336, 337, 435","47, 114, 115, 128, 221, 332, 334, 335, 337, 430, 431, 433, 434, 695, 696",,"220, 221, 295, 331, 333, 335, 336, 431, 432, 433, 434, 435, 696, 697",,,,,,,188,,,,,,"47, 114, 115, 220, 221, 431, 432, 695, 697"
TMU,,,,,,651,,,,524,,,524,,,,,,,652,"652, 653",,,,651,,,,652,,,,,,,,,,,,,,,,,,,,,"524, 653",,,,,,,653,651,,,,,,,,,,
TU Delft,,,,,,,,,"585, 586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"585, 586",,,,,,,,,,,,,,,,,"585, 586",,,,,,,,,,,,,
Toronto,,,,,,597,,,,,597,,592,,,,,"592, 594, 595, 597",,,,,,,,,,,,,,,,,,,,,,595,,,,"591, 598",,,,,594,"591, 598",,,,,595,,"591, 598",,,,,"592, 594",,,,,,
Trento University,553,,,,,,,,"554, 555",,,,"552, 556",,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"552, 553, 554, 555, 556, 557",,"552, 554, 555, 556",,,,,,,,,,,,,"553, 557"
Trinity College Dublin,,,,,,643,,,644,,,,,,,,,,,,"424, 570",,,644,,,,,"424, 570",,,,,,,,,,,,,,,,,,,643,,,,644,"424, 570, 643",,,,,,,,,,,,,,,
U Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529, 530",,,529,,,,,,,,,,,,,,,,,,529,,,,,528,530,,,528,,,"528, 530",,,,,,,
U Penn,532,,,,,,,,,,,,533,,,,,"531, 533, 640",,,,,,,,,,"531, 532, 640",,,,,,,,,,,,,,,,,,,,,,"531, 532, 533",,,,,640,,,,,,,,,,,,,
U.C. Berkeley,,,,,,,,,460,,,,,,,,,"461, 462",,,"461, 581, 582",,,,"461, 462, 577, 581",,,,582,,,,,,,,,,,,,,,,"581, 582",,,,462,577,,460,,,460,,,,,,,577,,,,,,
UCL,"79, 109, 162, 166, 183, 234",20,22,,,"8, 20, 21, 22, 41, 53, 77, 79, 112, 169, 186, 253, 296",,,"45, 49, 50, 51, 53, 77, 78, 104, 105, 107, 110, 111, 112, 123, 180, 253, 254, 263",,"48, 53, 104, 105, 106, 252, 297",,"2, 6, 10, 11, 12, 14, 16, 28, 29, 43, 78, 79, 153, 154, 156, 157, 166, 262, 526, 527",,,,,"5, 14, 23, 28, 41, 48, 154, 159, 167, 181, 234, 260, 261, 262, 263, 264, 299, 319, 320, 525, 526, 527",80,,"104, 150, 152, 155, 158, 162, 163, 170, 171, 182, 184",,161,"24, 78, 164, 165, 172, 173, 176, 254","9, 16, 21, 23, 26, 43, 125, 151, 185, 187, 258, 259",13,"105, 106, 252, 264","1, 2, 11, 12, 16, 26, 41, 80, 124, 151, 152, 153, 155, 156, 157, 158, 162, 163, 164, 173, 180, 183, 184, 186, 255, 294","42, 150, 161, 175",,,"9, 299",,176,"9, 176",,"294, 296, 297","45, 77, 107, 109, 110, 169, 253",,,50,,,,182,171,182,,"1, 26, 42, 165, 170, 174, 186","2, 5, 6, 8, 10, 20, 22, 23, 24, 125, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 163, 164, 172, 174, 185, 187, 254, 258, 259, 260, 261",,"45, 49, 50, 51, 107, 109, 110, 123","49, 51, 111, 123, 525","255, 294, 297","48, 80, 111, 112, 124, 159, 167, 175, 181, 183, 252, 262, 264, 319, 320, 525",,"125, 171, 180, 185, 187, 258, 259","1, 8, 13, 21, 24, 42, 124, 161, 169, 170, 172, 173, 174, 175, 184, 255",,,,"5, 6, 10, 11, 12, 28, 29, 43, 106, 165, 166, 167, 181, 234, 260, 263, 299, 319, 320, 526, 527",14,261,,296,,
UCL/UK CBT,604,,604,,,604,,,"602, 603",,,,"600, 601, 602",,,,,600,,603,,,,"601, 603",,,602,,,,,,,,,,,,,,,,,,,,,,,"600, 601",,,,,,,,,,,,,,,,,,
UK CBT & NTU,,,,,,,,,,,,,"661, 665, 668",,,,,"654, 663, 665",,,668,,,,,,,654,,,,,,,654,,,,,,,,,,,,,,,,,663,,,"661, 663, 668",,,,,,,665,,,,,,661
USP,"522, 523",,,,676,522,,,"687, 688",,,,"521, 523, 690, 691, 692",,,,,,,,"681, 682, 685, 689",,,686,,,"691, 692","681, 684, 685, 686, 689","522, 676, 694",,,,,,"521, 690, 694",,,684,,,,,,,,,,,"679, 680","682, 685",,,"682, 684, 687, 688, 689, 694",,"676, 688",,687,"681, 686",,,"679, 680","521, 523, 679, 680, 690, 691, 692",,,,,,
UZH,,,,,,,,,,,,,,,,,,,,513,,,,"514, 515","513, 514",,,,,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,515,,,"514, 515",,,,,,,
UZH Zurich,,,,,,,,,,,,,,,,,,,,,,650,,,650,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,
Univ. of Wyoming,,,,,,423,,,,,,,,,,,,423,,422,,,,"422, 450",,,,450,,,,,,,,,423,,,,,,,,,,,,,,,,,,,,,"422, 450",,,,,,,,,,
University of Bern,,,,,,,,,"536, 537, 571",,,,,,,,,536,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,535,"537, 571",,"535, 536, 571",,,,,,,,,,,,,535
University of Cape Town,,,,,,,,,,,565,,,,,,,,,,609,,,,,,563,,,,,,,,,,,563,,,,,,,609,,,,,"563, 565",,,609,,,,565,,,,,,,,,,,
University of Kyoto,,,,,,,,,,,,,"508, 509",,,,,,,,,,,,,,508,,,,,,,,,,,"508, 509",,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,
University of Luxembourg,,,,,,241,,,"75, 300, 301, 349, 350, 543, 544, 545",,75,,,,,,,"301, 547",,348,"52, 101",,,,,,,,,,,,,,,,,"300, 349, 350, 543, 544, 545",,,,,,,101,,,,,52,,"241, 300, 349, 350, 543, 544","52, 75, 101, 348, 545, 547",,"241, 301, 348, 547",,,,,,,,,,,,,
University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,"326, 328, 330",330,,,,,,"328, 329",,,,,,,,,,,,,,,,,,"327, 328, 329",,,,,326,,,,"326, 330",,327,,"327, 329",,,,,,
University of Nicosia,357,,,,,"72, 271, 356, 427, 428",,,"72, 73, 100, 144, 145, 270, 271, 272, 356, 357, 427, 428",,,,,,,,,,,,,,,,,,"100, 145",144,,,,,,,,,,"73, 100, 144, 145, 270, 271, 272",,,,,,,,,,,,,,"72, 73, 270, 272, 356, 357, 427, 428",,,,,,,,,,,,,,,,
University of North Carolina,,,,,,,,,,,,,"17, 256, 542",,,,,542,,,,,,,,,,"17, 256",,,,,,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,"17, 256",,,,,,
University of North Carolina (UNC),,,,,,,,,,,,,339,,,,,"338, 339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,"338, 339",,,,,,
University of North Carolina at Chapel Hill,,,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,,,,,641,,,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,,,
University of Oregon,,,,,,,,90,,,305,,"103, 233",,,90,,,,,"92, 95, 96, 97, 98, 302, 305",,,,,,,"68, 303","96, 302",,,,,276,,,,"93, 103, 233",,,,,97,,92,,,,,,,,"65, 68, 90, 92, 93, 95, 96, 97, 98, 103, 233, 276, 302, 303, 305",,"65, 68, 276, 303",,,,,,,,,,,,,"65, 93, 95, 98"
University of Pennsylvania,388,,,,,,,,,,,,"389, 391, 394",,,,390,"387, 392",,,,,,386,,,,"388, 389, 390, 392, 394",,,,,,386,,,,,,,,,,,,,,,,"387, 388, 389, 390, 391, 392, 393, 394",,,393,,386,,387,,,,,,,,391,,,
University of Sao Paulo,"408, 409, 410, 412",,,,,"131, 132, 133, 134, 406",,,"131, 407, 409",,,,"410, 411, 412, 413",,,,,36,,,"38, 405",,,35,,,,"404, 405","37, 404, 414",,,,,"403, 414","410, 411, 413",,,"132, 133, 406, 407",,,,,,,,,,,"35, 36, 37, 403",38,,"131, 133","38, 405, 408, 409, 414",,"132, 134, 407",,,"35, 36, 134, 403, 404, 406",,,,"37, 411, 412, 413",,,,,,408
University of Texas at Austin,198,,,,,"197, 198, 235, 236, 239",,,"82, 116, 235, 236",,200,,116,,,,,,,,"197, 199, 200, 237, 238, 239, 240",,,,,,116,,"197, 198, 199, 200, 237, 238, 239, 240",,,,240,,,,,82,,,,,,,,,,,,"237, 238",,"82, 235, 236",199,,,,,,,,,,,,,,,
University of Tokyo,,,,,,,,,208,,,,"18, 19, 27, 207, 209",,,,,"18, 206",,,,,,208,,,"27, 206",,,,,,,,,,,,,,,,,,,,,,,"19, 207",,,208,,,,209,,,,,"18, 19, 27, 206, 207, 209",,,,,,
University of Toronto,,,,,,"468, 469, 475",,,474,,,,,,,,,"466, 467, 471, 472, 473",,,"476, 477",,,,,,,476,,,,,,476,468,,,466,,467,,,,,,,,,,477,472,"469, 473, 474, 475",,,"466, 467, 468, 469, 471, 472, 473, 474, 475",,477,,,,,471,,,,,,
University of Waterloo,"81, 292, 346",,,,,"60, 345, 346, 347",,,"59, 60, 102, 291, 344, 347",,289,,429,,,,,,,,"249, 293",,,81,60,,344,"249, 293",,344,,,,,,,,59,,,,,,,,,,,,,,"59, 102, 289, 292, 345, 347, 429","81, 102, 249, 289, 291, 293",,"291, 292, 345, 346",,,,,,,,,,,,,429
University of Zurich,"399, 402",,,,,399,,,,,,,"396, 397",,,,,395,,,,,,"397, 400, 401","398, 400, 401, 402",,,"395, 398, 400, 402",,,,,,,,,,,,,,,,,,,,,,"396, 397, 399",,,,,,,,,398,,401,"395, 396",,,,,,
Victoria,,,,,,,,,,,,,,,,,,,,,635,,,,,,,636,,,,,,,,,,,,,,,,,,,,,,"635, 636",,,,,636,,,,,,,635,,,,,,
Victoria University,,,,,,,,,,,,,,,,,,516,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,"516, 517, 519",,,,,"517, 519",,,,,,,"516, 517",,,,,,
Waterloo,"610, 619",,,,,620,,,"559, 610, 613, 616, 619, 621",,622,,615,,,,,,,623,"617, 618",,,,,,"559, 622",,,,,,,,,,,623,,,,,,,,,,,,,,"613, 614, 615","613, 616, 617, 618, 619, 620, 621",,"558, 559, 610, 614, 618, 620, 622",,,"558, 623",,,,,,,,,,"558, 614, 615, 616, 617, 621"
nan,,,,,,,,,560,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,560,,560,,,,,,,520,,,,,,
